"Story","Title","Result","Date","Stability","Duration (s)"
"Us1122 login to twitter","US001 Login to Twitter ","SUCCESS","2017-06-04T11:31:49.026+06:00","0.0","97.32"
"Us1122 login to facebook","US001 Login to facebook","SUCCESS","2017-05-06T00:34:28.949+06:00","0.0","0.13"
"Us1122 login to facebook","US001 Login to facebook","ERROR","2017-06-03T15:58:27.439+06:00","0.0","42.67"
"Us1122 login to twitter","US001 Login to facebook ","SUCCESS","2017-06-04T11:09:48.609+06:00","0.0","76.08"
"Us1122 login to facebook","US001 Login to facebook ","SUCCESS","2017-06-04T10:13:18.067+06:00","0.0","55.61"
"Us1122 login to facebook","US001 Login to facebook ","ERROR","2017-06-03T16:01:21.998+06:00","0.0","38.87"
